,EVENT,二次大戰,九州熊本強震
120,EVENT,,二次大戰
123,EVENT,,普度法會
121,EVENT,,水門案
122,EVENT,,熊本地震
124,GPE,,高雄縣
153,GPE,,越南
152,GPE,,泰國
151,GPE,,台灣
150,GPE,,甲仙
149,GPE,,台南
148,GPE,,臺灣
147,GPE,,蘇炎城
146,GPE,,旅德
145,GPE,,德國
144,GPE,,高雄市
143,GPE,,高雄
142,GPE,,緬甸
141,GPE,,熊本
140,GPE,,甲仙區
139,GPE,,日本
137,GPE,,鳳山
136,GPE,,苗栗縣
135,GPE,,高雄縣市
134,GPE,,台北市
133,GPE,,熊本市
132,GPE,,苓雅區
131,GPE,,美國
130,GPE,,台北
129,GPE,,高雄市仁武區
128,GPE,,九州熊本縣
127,GPE,,中華民國
126,GPE,,熊本縣市
125,GPE,,高雄左營
154,GPE,,熊本縣
138,GPE,,日方
0,GPE,越南,
16,GPE,熊本縣,
12,GPE,高雄市仁武區,
13,GPE,苓雅區,
14,GPE,高雄縣,
15,GPE,熊本,
9,GPE,泰國,
17,GPE,鳳山,
18,GPE,旅德,
19,GPE,台南,
20,GPE,臺灣,
11,GPE,德國,
21,GPE,高雄市,
23,GPE,高雄,
8,GPE,緬甸,
7,GPE,日方,
6,GPE,熊本縣市,
5,GPE,熊本市,
4,GPE,台北,
3,GPE,九州熊本縣,
2,GPE,中華民國,
1,GPE,日本,
22,GPE,台灣,
10,GPE,高雄左營,
155,LAW,,高雄市壽山動物園認養辦法
24,LAW,高雄市壽山動物園認養辦法,
156,LAW,,憲法
25,LOC,嘉義文化園區,
157,LOC,,嘉義文化園區
164,NORP,,日本人
163,NORP,,仁武
161,NORP,,日本
160,NORP,,日商
159,NORP,,高雄人
158,NORP,,台灣
162,NORP,,道教
31,NORP,台灣,
30,NORP,仁武,
29,NORP,日本,
28,NORP,日本人,
27,NORP,日商,
26,NORP,高雄人,
71,ORG,九州熊本震災,
182,ORG,,團結聯盟
183,ORG,,議會
184,ORG,,國民黨團
185,ORG,,聯盟
186,ORG,,民進黨團
187,ORG,,高醫大
188,ORG,,高雄市議會
191,ORG,,台塑企業
190,ORG,,國防部長
181,ORG,,市政府
192,ORG,,陽明大學
193,ORG,,中研院生醫所
194,ORG,,北市衛生局
195,ORG,,美國國家衛生院
189,ORG,,民主黨
180,ORG,,日本交流協會
177,ORG,,高雄阮綜合醫院
178,ORG,,林務局
32,ORG,東台精機,
165,ORG,,癌生物學系
166,ORG,,文化部
167,ORG,,公衛所
168,ORG,,台塑仁武廠
169,ORG,,亦宛然掌中劇團
179,ORG,,高雄道德院
170,ORG,,明華園歌仔戲團
172,ORG,,台塑集團
173,ORG,,台塑
174,ORG,,陽明公衛所
175,ORG,,紙風車劇團
176,ORG,,福特
196,ORG,,陽明醫學系
171,ORG,,明華園總團
197,ORG,,哈佛大學公共衛生學院
70,ORG,壽山動物園,
199,ORG,,明華園戲劇總團
222,ORG,,台中市長
223,ORG,,美國農村發展組織
224,ORG,,農業局
225,ORG,,九州熊本震災
226,ORG,,臺中國家歌劇院
227,ORG,,日商ＴＤＫ
228,ORG,,市府
229,ORG,,日月光
230,ORG,,東台精機公司
231,ORG,,東台精機
232,ORG,,臺北國家兩廳院
233,ORG,,市議會
234,ORG,,三菱東京日聯銀行
235,ORG,,故宮南院
236,ORG,,中央
237,ORG,,民進黨
238,ORG,,國會
221,ORG,,台南市長
220,ORG,,衛武國家藝術文化中心
219,ORG,,衛武營
218,ORG,,高雄市政府交通局
200,ORG,,國民黨
201,ORG,,交通局
202,ORG,,社會局
203,ORG,,政府
204,ORG,,高市府
205,ORG,,熊本縣廳
206,ORG,,高雄銀行公庫部
207,ORG,,高雄市政府社會局
33,ORG,高雄市政府交通局,
208,ORG,,高雄市政府社
210,ORG,,一卡通票證公司
211,ORG,,高市府觀光局
212,ORG,,正興輪胎
213,ORG,,壽山動物園
214,ORG,,Yahoo
215,ORG,,熊本縣政府
216,ORG,,外交部
217,ORG,,工程會
209,ORG,,中宇環保工程公司
34,ORG,三菱東京日聯銀行,
198,ORG,,華盛頓
36,ORG,日月光,
65,ORG,高雄市政府社,
66,ORG,中宇環保工程公司,
67,ORG,民進黨,
68,ORG,高市府觀光局,
69,ORG,正興輪胎,
76,ORG,台南市長,
35,ORG,明華園戲劇總團,
72,ORG,Yahoo,
73,ORG,外交部,
74,ORG,工程會,
91,ORG,故宮南院,
90,ORG,熊本縣廳,
89,ORG,高市府,
88,ORG,陽明大學,
87,ORG,政府,
86,ORG,社會局,
85,ORG,臺北國家兩廳院,
84,ORG,高雄銀行公庫部,
83,ORG,農業局,
82,ORG,美國農村發展組織,
81,ORG,一卡通票證公司,
80,ORG,高雄市政府社會局,
79,ORG,熊本縣政府,
78,ORG,衛武國家藝術文化中心,
77,ORG,台中市長,
64,ORG,國會,
63,ORG,文化部,
75,ORG,衛武營,
61,ORG,台塑,
62,ORG,中央,
53,ORG,癌生物學系,
52,ORG,高醫大,
51,ORG,高雄阮綜合醫院,
50,ORG,哈佛大學公共衛生學院,
49,ORG,陽明醫學系,
48,ORG,美國國家衛生院,
47,ORG,北市衛生局,
46,ORG,中研院生醫所,
45,ORG,台塑集團,
44,ORG,亦宛然掌中劇團,
43,ORG,台塑企業,
42,ORG,交通局,
41,ORG,市議會,
55,ORG,陽明公衛所,
40,ORG,臺中國家歌劇院,
39,ORG,東台精機公司,
38,ORG,市府,
37,ORG,日商ＴＤＫ,
56,ORG,公衛所,
57,ORG,紙風車劇團,
58,ORG,台塑仁武廠,
59,ORG,明華園歌仔戲團,
60,ORG,明華園總團,
54,ORG,國民黨,
270,PERSON,,鄭光峰
294,PERSON,,王永在
290,PERSON,,林全
292,PERSON,,王詹樣
271,PERSON,,李雨庭
272,PERSON,,陳導民
273,PERSON,,李柏毅
274,PERSON,,俄鄧．殷艾
276,PERSON,,簡文彬
277,PERSON,,林宛蓉
278,PERSON,,Iran-contrascandal
279,PERSON,,黃石龍
280,PERSON,,CasparW.Weinberger
281,PERSON,,朱立倫
282,PERSON,,黃柏霖
283,PERSON,,林國正
284,PERSON,,蔡復進
285,PERSON,,陳寶輝
286,PERSON,,陳皆興
287,PERSON,,陳宜民
288,PERSON,,UBaMyoThein
289,PERSON,,蔡英文
291,PERSON,,許慧玉
293,PERSON,,日月暘
275,PERSON,,高閔琳
302,PERSON,,尼克森
296,PERSON,,沈英章
323,PERSON,,阿扁
322,PERSON,,布希特
321,PERSON,,福特
320,PERSON,,克林頓
319,PERSON,,老布希
318,PERSON,,布希
317,PERSON,,fullpardon
316,PERSON,,愛德華甘迺迪
315,PERSON,,陳水扁
314,PERSON,,張勝富
313,PERSON,,林佳龍
312,PERSON,,陳菊
311,PERSON,,柯文哲
310,PERSON,,李順進
309,PERSON,,張勝盼
308,PERSON,,康裕成
307,PERSON,,蔡昌達
306,PERSON,,林民傑
305,PERSON,,吳益政
304,PERSON,,賴清德
303,PERSON,,小英
269,PERSON,,三清道祖
301,PERSON,,曾俊傑
300,PERSON,,劉景寬
299,PERSON,,孫翠鳳
298,PERSON,,明華園
297,PERSON,,陳菊昨
295,PERSON,,項羽
268,PERSON,,伊斯坦大．貝雅夫．正福
240,PERSON,,吳銘賜
266,PERSON,,翁瑞珠
96,PERSON,林全,
97,PERSON,柯文哲,
98,PERSON,陳菊,
99,PERSON,陳寶輝,
100,PERSON,馬英九,
101,PERSON,吳宏謀,
102,PERSON,賴清德,
103,PERSON,UBaMyoThein,
104,PERSON,孫翠鳳,
105,PERSON,顏久榮,
106,PERSON,蔡復進,
107,PERSON,劉景寬,
108,PERSON,林佳龍,
109,PERSON,許慧玉,
110,PERSON,日月暘,
111,PERSON,王詹樣,
112,PERSON,陳菊昨,
113,PERSON,王永在,
114,PERSON,項羽,
115,PERSON,沈英章,
116,PERSON,簡文彬,
117,PERSON,明華園,
118,PERSON,陳宜民,
119,PERSON,洪孟啟,
324,PERSON,,馬英九
95,PERSON,林國正,
94,PERSON,陳皆興,
93,PERSON,朱立倫,
92,PERSON,黃柏霖,
265,PERSON,,崇仙亭
264,PERSON,,三清太乙
263,PERSON,,何權峰
262,PERSON,,林芳如
261,PERSON,,周玲妏
260,PERSON,,黃淑美
259,PERSON,,張豐藤
258,PERSON,,陳順利
257,PERSON,,陳政聞
256,PERSON,,顏曉菁
255,PERSON,,羅鼎城
254,PERSON,,林瑩蓉
267,PERSON,,洪孟啟
253,PERSON,,吳宏謀
251,PERSON,,陳明澤
250,PERSON,,李喬如
249,PERSON,,翁太明
248,PERSON,,張漢忠
247,PERSON,,邱俊憲
246,PERSON,,康議長
245,PERSON,,陳信瑜
244,PERSON,,鍾盛有
243,PERSON,,簡煥宗
242,PERSON,,甲仙天
241,PERSON,,顏久榮
239,PERSON,,郭建盟
252,PERSON,,陳慧文
325,PERSON,,仙官
